Timber Ratio,Furnace Area,Test Time,Fuel Consumption
0.05,150.0,2.0,2.60341573976e+11,
0.05,150.0,1.75,2.53933582236e+11,
0.05,150.0,1.5,2.46893540452e+11,
0.05,150.0,1.25,2.3896073132e+11,
0.05,150.0,1.0,2.29709743648e+11,
0.05,150.0,0.75,2.18343383125e+11,
0.05,150.0,0.5,2.03090202532e+11,
0.05,150.0,0.25,1.78385672421e+11,
0.05,140.0,2.0,2.14171341078e+11,
0.05,140.0,1.75,2.08623364262e+11,
0.05,140.0,1.5,2.02572532487e+11,
0.05,140.0,1.25,1.95805332794e+11,
0.05,140.0,1.0,1.87975543012e+11,
0.05,140.0,0.75,1.78433494829e+11,
0.05,140.0,0.5,1.65736125719e+11,
0.05,140.0,0.25,1.45357913431e+11,
0.05,120.0,2.0,1.39774936087e+11,
0.05,120.0,1.75,1.3560879484e+11,
0.05,120.0,1.5,1.31147805879e+11,
0.05,120.0,1.25,1.2625539514e+11,
0.05,120.0,1.0,1.20713202055e+11,
0.05,120.0,0.75,1.14110631088e+11,
0.05,120.0,0.5,1.05535579973e+11,
0.05,120.0,0.25,92138803928.3,
0.06,120.0,2.0,1.3783409075e+11,
0.06,120.0,1.75,1.3392400219e+11,
0.06,120.0,1.5,1.29720774012e+11,
0.06,120.0,1.25,1.2508761465e+11,
0.06,120.0,1.0,1.19807886554e+11,
0.06,120.0,0.75,1.13471881839e+11,
0.06,120.0,0.5,1.05164693959e+11,
0.06,120.0,0.25,92030825546.4,
0.06,150.0,2.0,2.57892609787e+11,
0.06,150.0,1.75,2.51808377416e+11,
0.06,150.0,1.5,2.45094175973e+11,
0.06,150.0,1.25,2.37489224031e+11,
0.06,150.0,1.0,2.28570471752e+11,
0.06,150.0,0.75,2.17540908425e+11,
0.06,150.0,0.5,2.02625315352e+11,
0.06,150.0,0.25,1.7825070143e+11,
0.06,100.0,2.0,84766914918.3,
0.06,100.0,1.75,81802714131.0,
0.06,100.0,1.5,78693125762.9,
0.06,100.0,1.25,75357992590.8,
0.06,100.0,1.0,71672526127.4,
0.06,100.0,0.75,67400449866.0,
0.06,100.0,0.5,62011425987.4,
0.06,100.0,0.25,53857710373.9,
0.06,140.0,2.0,2.11892063475e+11,
0.06,140.0,1.75,2.06645149418e+11,
0.06,140.0,1.5,2.00897376935e+11,
0.06,140.0,1.25,1.94435080647e+11,
0.06,140.0,1.0,1.86914232678e+11,
0.06,140.0,0.75,1.77685565622e+11,
0.06,140.0,0.5,1.65302555228e+11,
0.06,140.0,0.25,1.45231939895e+11,
0.06,130.0,2.0,1.72019002584e+11,
0.06,130.0,1.75,1.67493883257e+11,
0.06,130.0,1.5,1.62579808159e+11,
0.06,130.0,1.25,1.57104291898e+11,
0.06,130.0,1.0,1.50791855211e+11,
0.06,130.0,0.75,1.43121895046e+11,
0.06,130.0,0.5,1.32933626325e+11,
0.06,130.0,0.25,1.16596341957e+11,
0.06,90.0,2.0,65000070288.3,
0.06,90.0,1.75,62385490172.4,
0.06,90.0,1.5,59679665601.2,
0.06,90.0,1.25,56824204344.1,
